  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  172         3.1600000000000244E+008         1.1164851948785738E-001         1.1164832469334826E-001         3.4462994042213193E+000         5.1126026635517601E+000        -2.8935898444789672E+000         1.7000000000000001E-001            0.237437           20.474977           19.144880           17.230888           15.087840           12.862942           10.267184            9.496275            9.165763           14.675259           18.096962           16.561527           19.410309           17.539238           14.413748           17.462708           13.051424           14.475994           17.413464           17.455990           13.020987           12.807116           14.492093           17.439629           13.026896           -1.000000
  173         3.1600000000000244E+008         1.1634710129847164E-001         1.1634689776069367E-001         3.4492939823681765E+000         5.1083175875268800E+000        -2.8607788745025067E+000         1.7000000000000001E-001            0.237438           20.272812           18.952627           17.054371           14.950487           12.744556           10.193459            9.425438            9.096554           14.550671           17.911388           16.415081           19.215925           17.360720           14.299891           17.288612           12.942267           14.358797           17.239573           17.282171           12.912168           12.703697           14.375126           17.265541           12.917294           -1.000000
  174         3.1600000000000244E+008         1.2108289902876646E-001         1.2108268653962244E-001         3.4524040481086380E+000         5.1038138651666056E+000        -2.8271562400031436E+000         1.7000000000000001E-001            0.237439           20.069202           18.757664           16.873503           14.809706           12.625430           10.117957            9.352011            9.024993           14.423988           17.721489           16.264009           19.020048           17.177818           14.183588           17.109859           12.831130           14.239191           17.060978           17.103657           12.801305           12.597879           14.255753           17.086735           12.805870           -1.000000
  175         3.1600000000000244E+008         1.2585038769723866E-001         1.2585016605091109E-001         3.4556153436866546E+000         5.0990869173338007E+000        -2.7927938508940153E+000         1.7000000000000001E-001            0.237441           19.861662           18.558397           16.687916           14.665440           12.504221           10.040843            9.276637            8.951664           14.294601           17.526686           16.108770           18.820339           16.990152           14.064660           16.926315           12.717705           14.116861           16.877579           16.920341           12.688185           12.490005           14.133631           16.903116           12.692135           -1.000000
  176         3.1600000000000244E+008         1.3064241007735972E-001         1.3064217907243966E-001         3.4589080103037868E+000         5.0941364766473329E+000        -2.7577960814967755E+000         1.7000000000000001E-001            0.237442           19.651588           18.356159           16.498898           14.518432           12.381504            9.962317            9.199511            8.876755           14.163113           17.328367           15.950251           18.618101           16.799021           13.943443           16.739258           12.602396           13.992388           16.690649           16.733501           12.573198           12.380499           14.009356           16.715960           12.576516           -1.000000
  177         3.1600000000000244E+008         1.3547431856240297E-001         1.3547407796036237E-001         3.4622811520254029E+000         5.0888932466480279E+000        -2.7220636872277848E+000         1.7000000000000001E-001            0.237444           19.439129           18.151123           16.305248           14.368586           12.257138            9.882329            9.120447            8.800024           14.029364           17.126801           15.788450           18.413454           16.602804           13.819899           16.548618           12.484904           13.865616           16.500067           16.543329           12.456014           12.269293           13.882774           16.525473           12.458767           -1.000000
  178         3.1600000000000244E+008         1.4035730949279598E-001         1.4035705902345383E-001         3.4657343535549212E+000         5.0832849076389293E+000        -2.6854990507901837E+000         1.7000000000000001E-001            0.237447           19.224468           17.943501           16.107306           14.215820           12.130982            9.800958            9.039261            8.721244           13.893197           16.922295           15.623399           18.206545           16.402683           13.693871           16.352489           12.365215           13.736399           16.304045           16.347422           12.336634           12.155722           13.753738           16.329205           12.338850           -1.000000
  179         3.1600000000000244E+008         1.4645826748878485E-001         1.4645800476518198E-001         3.4691539517978529E+000         5.0765983161325208E+000        -2.6457458673230949E+000         1.7000000000000001E-001            0.237449           19.005123           17.731197           15.905195           14.056305           11.998334            9.711116            8.949928            8.634239           13.750205           16.712660           15.451745           17.995001           16.198864           13.560652           16.151035           12.238428           13.600127           16.102686           16.146154           12.210144           12.034865           13.617634           16.127567           12.211872           -1.000000
  180         3.1600000000000244E+008         1.5652936566699949E-001         1.5652908323603820E-001         3.4723257457992069E+000         5.0669638077077090E+000        -2.5967296733613727E+000         1.7000000000000001E-001            0.237454           18.770958           17.504902           15.689389           13.878451           11.846004            9.597256            8.837019            8.523338           13.587805           16.488535           15.262649           17.769222           15.981014           13.407117           15.936830           12.091045           13.443859           15.888584           15.931978           12.063029           11.892858           13.461506           15.913099           12.064350           -1.000000
  181         3.1600000000000244E+008         1.6677334903165239E-001         1.6677304620754446E-001         3.4755671227532519E+000         5.0566471162746787E+000        -2.5463280325264179E+000         1.7000000000000001E-001            0.237458           18.534351           17.275593           15.470741           13.696884           11.690699            9.480157            8.720785            8.409060           13.421886           16.261703           15.069868           17.540840           15.760302           13.250044           15.719761           11.940376           13.284087           15.671622           15.715105           11.912628           11.747545           13.301869           15.695873           11.913568           -1.000000
  182         3.1600000000000244E+008         1.7717613390179529E-001         1.7717580999240812E-001         3.4788655835545432E+000         5.0457019048096150E+000        -2.4946889272496726E+000         1.7000000000000001E-001            0.237461           18.296455           17.045023           15.250282           13.512249           11.532994            9.360237            8.601606            8.291738           13.253021           16.032949           14.874145           17.310938           15.537769           13.089964           15.500847           11.786950           13.121361           15.452821           15.496397           11.759466           11.599426           13.139270           15.476795           11.760058           -1.000000
  183         3.1600000000000244E+008         1.8735724945272181E-001         1.8735690468581218E-001         3.4818470109854864E+000         5.0352431330995877E+000        -2.4468658876098344E+000         1.7000000000000001E-001            0.237465           18.081045           16.835911           15.049812           13.342888           11.388631            9.249082            8.490945            8.182675           13.098080           15.825943           14.694808           17.102657           15.335443           12.942744           15.301687           11.645933           12.971846           15.253757           15.297419           11.618681           11.463104           12.989857           15.277472           11.619002           -1.000000
  184         3.1600000000000244E+008         1.9845720371623382E-001         1.9845683628556007E-001         3.4843323255991678E+000         5.0254100414812859E+000        -2.4026810068730922E+000         1.7000000000000001E-001            0.237470           17.891890           16.652111           14.873058           13.191287           11.258332            9.145614            8.387940            8.080938           12.958618           15.642330           14.534895           16.919670           15.157145           12.809560           15.125982           11.518049           12.836816           15.078131           15.121864           11.490987           11.339058           12.854903           15.101620           11.491111           -1.000000
  185         3.1600000000000244E+008         2.0966514754493296E-001         2.0966475683371405E-001         3.4868538750360965E+000         5.0153838688274890E+000        -2.3578944533848021E+000         1.7000000000000001E-001            0.237475           17.702217           16.467506           14.695224           13.038157           11.127030            9.040854            8.283479            7.977966           12.817797           15.458437           14.373403           16.736027           14.977758           12.674951           14.949163           11.388899           12.700397           14.901388           14.945195           11.362022           11.213728           12.718555           14.924644           11.361971           -1.000000
  186         3.1600000000000244E+008         2.2047855604789965E-001         2.2047814252263612E-001         3.4892635988019789E+000         5.0058506199851980E+000        -2.3152835895232919E+000         1.7000000000000001E-001            0.237480           17.523567           16.293308           14.527166           12.892953           11.002773            8.941313            8.184101            7.879949           12.684289           15.284817           14.220298           16.562868           14.808239           12.547234           14.782032           11.266449           12.571007           14.734329           14.778208           11.239747           11.094859           12.589226           14.757362           11.239546           -1.000000
  187         3.1600000000000244E+008         2.2880648493829164E-001         2.2880605376775906E-001         3.4909416521526366E+000         4.9998536784535910E+000        -2.2864363938963352E+000         1.7000000000000001E-001            0.237482           17.402996           16.175301           14.413152           12.794357           10.918697            8.874017            8.117109            7.813299           12.593739           15.167259           14.116292           16.445700           14.693226           12.460626           14.668630           11.183517           12.483265           14.620974           14.664906           11.156934           11.014378           12.501525           14.643855           11.156637           -1.000000
  188         3.1600000000000244E+008         2.3719939618196581E-001         2.3719894698233182E-001         3.4926336717534299E+000         4.9938219337789658E+000        -2.2573740227308288E+000         1.7000000000000001E-001            0.237487           17.284037           16.058357           14.300392           12.696133           10.834309            8.805799            8.048716            7.745579           12.503133           15.051521           14.012865           16.329544           14.579485           12.373775           14.556382           11.100217           12.395331           14.508766           14.552739           11.073749           10.933434           12.413630           14.531513           11.073360           -1.000000
  189         3.1600000000000244E+008         2.4300669944149964E-001         2.4300623739635660E-001         3.4938517966975784E+000         4.9880596438673175E+000        -2.2359674734515020E+000         1.7000000000000001E-001            0.237488           17.197102           15.973356           14.218712           12.624662           10.772634            8.755427            7.997986            7.695554           12.437023           14.967464           13.937687           16.244953           14.497087           12.310287           14.475066           11.039257           12.331091           14.427483           14.471479           11.012870           10.874121           12.349417           14.450131           11.012423           -1.000000
