  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  172         3.1600000000000244E+008         1.1164851948785738E-001         1.1164832469334826E-001         3.4462994042213193E+000         5.1126026635517601E+000        -2.8935898444789672E+000         1.7000000000000001E-001            0.237437           18.562311           17.545542           16.016918           14.202910           12.139688            9.910337            9.270630            9.021288           13.891008           16.763597           15.571784           17.717384           16.293266           13.701826           16.271999           12.381960           13.740366           16.225405           16.264933           12.354071           12.182521           13.757506           16.248964           12.356030           -1.000000
  173         3.1600000000000244E+008         1.1634710129847164E-001         1.1634689776069367E-001         3.4492939823681765E+000         5.1083175875268800E+000        -2.8607788745025067E+000         1.7000000000000001E-001            0.237438           18.360479           17.353090           15.839969           14.063175           12.020874            9.836575            9.199785            8.952043           13.763840           16.578114           15.420665           17.523203           16.114153           13.584641           16.096504           12.270870           13.620121           16.050098           16.089622           12.243290           12.077228           13.637467           16.073509           12.244658           -1.000000
  174         3.1600000000000244E+008         1.2108289902876646E-001         1.2108268653962244E-001         3.4524040481086380E+000         5.1038138651666056E+000        -2.8271562400031436E+000         1.7000000000000001E-001            0.237439           18.157141           17.158178           15.658727           13.919658           11.901333            9.761041            9.126349            8.880444           13.634180           16.388294           15.264027           17.327614           15.930676           13.464620           15.916422           12.157797           13.497090           15.870171           15.909711           12.130515           11.969678           13.514615           15.893425           12.131391           -1.000000
  175         3.1600000000000244E+008         1.2585038769723866E-001         1.2585016605091109E-001         3.4556153436866546E+000         5.0990869173338007E+000        -2.7927938508940153E+000         1.7000000000000001E-001            0.237441           17.949856           16.959064           15.472782           13.772462           11.779708            9.683894            9.050968            8.807076           13.501612           16.193575           15.102758           17.128241           15.742434           13.341681           15.731551           12.042326           13.371168           15.685446           15.725012           12.015344           11.859957           13.388862           15.708536           12.015750           -1.000000
  176         3.1600000000000244E+008         1.3064241007735972E-001         1.3064217907243966E-001         3.4589080103037868E+000         5.0941364766473329E+000        -2.7577960814967755E+000         1.7000000000000001E-001            0.237442           17.740017           16.757076           15.283423           13.622366           11.656575            9.605337            8.973831            8.732127           13.366762           15.995338           14.937827           16.926374           15.550727           13.216357           15.543180           11.924846           13.242936           15.497208           15.536808           11.898177           11.748429           13.260792           15.520130           11.898111           -1.000000
  177         3.1600000000000244E+008         1.3547431856240297E-001         1.3547407796036237E-001         3.4622811520254029E+000         5.0888932466480279E+000        -2.7220636872277848E+000         1.7000000000000001E-001            0.237444           17.527771           16.552372           15.089471           13.469301           11.531791            9.525318            8.894758            8.655357           13.229477           15.793850           14.769861           16.722130           15.353854           13.088532           15.351547           11.805193           13.112244           15.305700           15.345343           11.778824           11.634947           13.130253           15.328448           11.778352           -1.000000
  178         3.1600000000000244E+008         1.4035730949279598E-001         1.4035705902345383E-001         3.4657343535549212E+000         5.0832849076389293E+000        -2.6854990507901837E+000         1.7000000000000001E-001            0.237447           17.313309           16.345144           14.891236           13.313212           11.405213            9.443919            8.813562            8.576538           13.089609           15.589421           14.598551           16.515644           15.153172           12.958056           15.154673           11.683289           12.978946           15.108824           15.149133           11.657218           11.519083           12.997101           15.131777           11.656373           -1.000000
  179         3.1600000000000244E+008         1.4645826748878485E-001         1.4645800476518198E-001         3.4691539517978529E+000         5.0765983161325208E+000        -2.6457458673230949E+000         1.7000000000000001E-001            0.237449           17.094149           16.133162           14.688919           13.150403           11.272146            9.354051            8.724220            8.489493           12.942872           15.379852           14.420784           16.304504           14.948937           12.820360           14.952009           11.554301           12.838563           14.906271           14.946662           11.528517           11.395938           12.856851           14.929037           11.527347           -1.000000
  180         3.1600000000000244E+008         1.5652936566699949E-001         1.5652908323603820E-001         3.4723257457992069E+000         5.0669638077077090E+000        -2.5967296733613727E+000         1.7000000000000001E-001            0.237454           16.860157           15.907213           14.472839           12.969496           11.119420            9.240164            8.611302            8.378556           12.776909           15.155746           14.226088           16.079016           14.730549           12.662589           14.736406           11.404860           12.678394           14.690817           14.730927           11.379333           11.251784           12.696795           14.713215           11.377907           -1.000000
  181         3.1600000000000244E+008         1.6677334903165239E-001         1.6677304620754446E-001         3.4755671227532519E+000         5.0566471162746787E+000        -2.5463280325264179E+000         1.7000000000000001E-001            0.237458           16.623716           15.678555           14.253926           12.784872           10.963709            9.123037            8.495060            8.264240           12.607320           14.928976           14.027796           15.850922           14.509295           12.501154           14.518144           11.252089           12.514603           14.472674           14.512826           11.226819           11.104270           12.533110           14.494869           11.225165           -1.000000
  182         3.1600000000000244E+008         1.7717613390179529E-001         1.7717580999240812E-001         3.4788655835545432E+000         5.0457019048096150E+000        -2.4946889272496726E+000         1.7000000000000001E-001            0.237461           16.385977           15.447955           14.033211           12.597197           10.805587            9.003088            8.375873            8.146879           12.434682           14.700201           13.826712           15.621302           14.286221           12.336597           14.298055           11.096522           12.347745           14.252709           14.292906           11.071506           10.953897           12.366354           14.274689           11.069659           -1.000000
  183         3.1600000000000244E+008         1.8735724945272181E-001         1.8735690468581218E-001         3.4818470109854864E+000         5.0352431330995877E+000        -2.4468658876098344E+000         1.7000000000000001E-001            0.237465           16.170689           15.238611           13.832528           12.425076           10.660844            8.891909            8.265203            8.037783           12.276233           14.493438           13.642638           15.413272           14.083416           12.185237           14.097872           10.953552           12.194404           14.052635           14.092878           10.928757           10.815508           12.213094           14.074410           10.926781           -1.000000
